Compiler,ImportFunctions
Binaryen,env.__cargo_web_snippet_85b9ecbdb8513465b790546acfd0cd530441b8a4
Binaryen,wbg.__widl_f_item_HTMLCollection
Binaryen,wbg.__wbg_global_99312a595fd2e761
Binaryen,./rust_webpack.__wbindgen_json_parse
Binaryen,./https_everywhere_lib_wasm.__wbg_set_8866dbb36cf947cb
Binaryen,./rust_webpack.__widl_f_new_with_u8_array_sequence_and_options_Blob
Binaryen,wbg.__wbg_random_09364f2d8647f133
Binaryen,wbg.__wbg_toString_c663742ecc5b25ea
Binaryen,env.cos
Binaryen,./rust_webpack.__widl_f_set_onvisibilitychange_Document
Binaryen,./js_framework_benchmark_simi.__widl_instanceof_Element
Binaryen,wasi_unstable.path_remove_directory
Binaryen,./rust_webpack.__widl_instanceof_Window
Binaryen,./rust_webpack.__wbg_new_eed4009beab03e81
Binaryen,env.__cargo_web_snippet_8545f3ba2883a49a2afd23c48c5d24ef3f9b0071
Binaryen,wbg.__wbindgen_closure_wrapper139
Binaryen,wbg.__wbg_then_0fe88013efbd2711
Binaryen,env.__cargo_web_snippet_09675c7ed2827e045dc760aeac3d286437cfbe5e
Binaryen,./rust_webpack.__widl_f_set_href_HTMLLinkElement
Binaryen,./index.js.__wbg_settextcontent_41d94df0242539e0
Binaryen,./index.js.__wbg_random_4eec15c1337c828c
Binaryen,./js_framework_benchmark_simi.__widl_f_add_event_listener_with_callback_EventTarget
Binaryen,env.__cargo_web_snippet_c26ddf75f581148e029dfcd95c037bb50d502e43
Binaryen,./index.js.__wbindgen_closure_wrapper60
Binaryen,./index.js.__widl_f_parent_element_Node
Binaryen,./rust_webpack.__widl_f_child_nodes_Node
Binaryen,wbg.__widl_f_fill_CanvasRenderingContext2D
Binaryen,wbg.__wbindgen_is_string
Binaryen,./js_framework_benchmark_simi.__wbindgen_is_null
Binaryen,./rust_webpack.__wbg_length_f74e28a8e08f33fb
Binaryen,wbg.__widl_f_fetch_with_request_Window
Binaryen,env.__cargo_web_snippet_ab05f53189dacccf2d365ad26daa407d4f7abea9
Binaryen,./rust_webpack.__wbindgen_debug_string
Binaryen,wbg.__wbg_new_f802c5ff9d449d95
Binaryen,wasi_unstable.path_unlink_file
Binaryen,wbg.__wbindgen_memory
Binaryen,wbg.__widl_f_fill_text_CanvasRenderingContext2D
Binaryen,wbg.__widl_f_origin_Location
Binaryen,./rust_webpack.__wbindgen_throw
Binaryen,./js_framework_benchmark_simi.__wbg_call_173f04c850a68d5f
