"ID","IssueID","BugFixCommitID","Filename","FunctionName","InFirstLineOfPatch","Language","RawURL"
98,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_lessThanOrEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
99,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_equal,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
100,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_notEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
101,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_greaterThanOrEqual,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
102,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_greaterThan,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
103,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_extractLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
104,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_replaceLane,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
105,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromFloat64x2Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
106,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromInt32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
107,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromUint32x4Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
108,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromInt16x8Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
109,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromUint16x8Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
110,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromInt8x16Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
111,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromUint8x16Bits,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
112,59442,83379,system/include/emscripten/vector.h,emscripten_float32x4_fromInt32x4,0,C,https://github.com/emscripten-core/emscripten/raw/ea38f63465bcf2a62befe4a1698c79b1b2f8dc8b/system/include/emscripten/vector.h
